id,salary
7,14247.62
10,27234.28
12,22944.53
65,13673.35
73,31026.94
82,31572.53
83,28853.61
99,13268.99
126,15423.09
132,34400.44
138,20615.39
152,24189.73
165,35462.52
176,16022.68
202,29840.12
206,33828.83
207,36260.39
208,33193.8
220,22866.39
226,25084.49
239,36865.05
244,25806.31
251,27277.25
264,23469.47
266,26026.44
277,18608.43
279,19078.57
297,26887.78
301,28731.89
305,34756.42
307,20446.45
310,24808.18
326,29265.36
350,29798.15
359,24951.68
364,39139.25
368,15270.86
370,16506.02
380,17931.92
394,18284.49
399,21959.79
401,39195.46
412,32792.52
419,15592.05
424,13574.77
429,22784.58
433,29190.39
437,24623.44
455,34494.7
460,34805.84
481,19015.68
502,39617.69
504,34039.59
506,38942.1
525,33270.67
538,16468.24
550,12380.49
553,38917.41
556,36100.87
571,19237.35
573,31858.06
602,22099.86
609,24065.17
641,23977.69
678,28276.84
683,17658.63
695,28387.23
714,36103.41
729,17758.66
745,36349.6
756,28816.16
757,32963.93
764,17175.01
775,16358.8
779,13375.17
794,32178.45
816,14673.04
834,19261.86
839,27596.56
848,23311.89
856,37573.27
877,25807.16
878,12834.8
897,37613.49
906,39551.7
911,23043.88
921,31239.12
937,38292.37
948,38839.83
968,29943.41
981,15754.79
984,37163.76
999,18433.85
